Trends,Search volume,Started,Ended,Trend breakdown,Explore link
penn state football,200K+,50 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=penn%20state%20football&geo=US&hl=en-US
oregon football,200K+,3 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=oregon%20football&geo=US&hl=en-US
arch manning,200K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=arch%20manning&geo=US&hl=en-US
méxico sub-20 - argentina sub-20,100K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=méxico%20sub-20%20-%20argentina%20sub-20&geo=US&hl=en-US
did diane keaton died today,100K+,3 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=did%20diane%20keaton%20died%20today&geo=US&hl=en-US
mexico u-20 vs argentina u-20,50K+,2 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=mexico%20u-20%20vs%20argentina%20u-20&geo=US&hl=en-US
iowa vs wisconsin,50K+,3 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=iowa%20vs%20wisconsin&geo=US&hl=en-US
michigan football,50K+,20 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=michigan%20football&geo=US&hl=en-US
nebraska football,50K+,50 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=nebraska%20football&geo=US&hl=en-US
south carolina vs lsu,20K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=south%20carolina%20vs%20lsu&geo=US&hl=en-US
atlanta united vs inter miami,20K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=atlanta%20united%20vs%20inter%20miami&geo=US&hl=en-US
helicopter crash huntington beach,20K+,2 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=helicopter%20crash%20huntington%20beach&geo=US&hl=en-US
clemson vs boston college,20K+,2 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=clemson%20vs%20boston%20college&geo=US&hl=en-US
cubs vs brewers,20K+,10 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=cubs%20vs%20brewers&geo=US&hl=en-US
arkansas football,20K+,40 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=arkansas%20football&geo=US&hl=en-US
texas a&m,20K+,30 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=texas%20a&m&geo=US&hl=en-US
kstate football,20K+,2 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=kstate%20football&geo=US&hl=en-US
cu football,20K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=cu%20football&geo=US&hl=en-US
kansas vs texas tech,10K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=kansas%20vs%20texas%20tech&geo=US&hl=en-US
purdue vs minnesota,10K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=purdue%20vs%20minnesota&geo=US&hl=en-US
mario pinto,10K+,3 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=mario%20pinto&geo=US&hl=en-US
byu vs arizona,10K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=byu%20vs%20arizona&geo=US&hl=en-US
james franklin,10K+,1 hour ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=james%20franklin&geo=US&hl=en-US
navy football,10K+,40 minutes ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=navy%20football&geo=US&hl=en-US
sub 20 world cup,10K+,2 hours ago,,more_vertMore actionschecklistSelectquery_statsExploreSearch it,https://trends.google.com/trends/explore?q=sub%2020%20world%20cup&geo=US&hl=en-US
